Wall time,Step,Value
1716029700.15629,4,0.0
1716029715.920356,14,0.0
1716029717.2038589,15,0.0
1716029720.995069,18,0.0
1716029722.1560209,19,0.0
1716029728.032727,22,0.0
1716029733.2261581,26,0.0
1716029735.0926971,27,0.0
1716029755.883002,40,0.0
1716029765.0478568,47,0.0
1716029766.757656,48,0.0
1716029768.485038,49,0.0
1716029776.537003,54,0.0
1716029789.631118,62,0.0
1716029791.3420212,63,0.0
1716029796.174957,66,0.0
1716029797.7247171,67,0.0
1716029802.693969,70,0.0
1716029804.125539,71,0.026200000196695328
1716029812.218241,77,0.0
1716029820.1123688,82,0.0
1716029830.778742,89,0.0
1716029846.605356,99,0.0
1716029853.7210891,103,0.0
1716029858.302463,106,0.0
1716029859.8495202,107,0.0
1716029872.923115,116,0.0
1716029880.664834,121,0.02199999988079071
1716029886.898453,125,0.0
1716029888.45347,126,0.0
1716029891.6728792,128,0.0
1716029895.266795,130,0.0
1716029904.0848372,136,0.0
1716029905.43089,137,0.0
1716029916.088049,144,0.0
1716029919.1980422,146,0.0
1716029920.579606,147,0.0
1716029924.888215,150,0.0
1716029935.134003,157,0.0
1716029939.907153,160,0.0
1716029942.5282712,162,0.0
1716029945.226469,164,0.0
1716029956.054807,171,0.0
1716029957.42163,172,0.0
1716029964.011216,177,0.0
1716029975.085224,184,0.0
1716029976.625978,185,0.0
1716029978.376564,186,0.0
1716029984.360527,190,0.0
1716029985.8914912,191,0.0
1716029987.442707,192,0.0
1716029997.4891782,199,0.0
1716030002.107417,202,0.0
1716030003.3014662,203,0.0
1716030004.2049768,204,0.0
1716030005.418686,205,0.0
1716030008.3263192,207,0.0
1716030014.408763,211,0.0
1716030017.011571,213,0.0
1716030020.045645,215,0.0
1716030028.1033092,220,0.0
1716030029.7890089,221,0.0
1716030034.4404328,224,0.0
1716030042.182278,229,0.0
1716030064.765672,244,0.0
1716030066.6876411,245,0.0
1716030068.401621,246,0.0
1716030086.123792,258,0.0
1716030087.676044,259,0.011800000444054604
1716030089.543917,260,0.0
1716030107.04549,271,0.0
1716030111.987065,274,0.0
1716030114.616409,276,0.0
1716030117.257096,278,0.0
1716030123.439744,282,0.0
1716030127.51383,285,0.0
1716030131.2948549,288,0.04960000142455101
1716030134.925424,290,0.0
1716030142.7022889,295,0.0
1716030145.559287,297,0.0
1716030147.200515,298,0.0
1716030157.684513,306,0.0
1716030160.4135208,308,0.0
1716030167.231439,312,0.0
1716030172.731678,316,0.0
1716030175.336006,318,0.06279999762773514
1716030177.030726,319,0.0
1716030181.492279,322,0.039400000125169754
1716030201.290538,337,0.01720000058412552
1716030202.1400151,338,0.0
1716030208.661757,343,0.0
1716030211.244431,345,0.0
1716030212.628927,346,0.0
1716030222.2211268,352,0.050200000405311584
1716030224.6879518,354,0.05739999935030937
1716030230.202715,358,0.0
1716030238.211936,364,0.0
1716030239.752702,365,0.0
1716030240.796752,366,0.0
1716030242.131386,367,0.042399998754262924
1716030257.800843,378,0.07400000095367432
1716030269.004027,386,0.028599999845027924
1716030274.849628,390,0.0
1716030277.1925278,392,0.13220000267028809
1716030283.5552619,397,0.0
1716030290.663442,402,0.05180000141263008
1716030292.641363,404,0.0
1716030307.026634,415,0.0
1716030316.469121,421,0.0
1716030317.634411,422,0.0430000014603138
1716030322.953931,426,0.11840000003576279
1716030337.024839,436,0.0
1716030338.754074,437,0.09200000017881393
1716030340.8784142,439,0.03999999910593033
1716030346.523916,443,0.0
1716030347.526573,444,0.0
1716030350.1039948,446,0.0
1716030355.799948,450,0.0
1716030358.3741062,452,0.028999999165534973
1716030363.819639,456,0.08959999680519104
1716030370.874227,461,0.0
1716030375.063977,465,0.0
1716030379.718506,468,0.14720000326633453
1716030382.14326,470,0.0
1716030387.1450088,474,0.0
1716030388.6669178,475,0.0
1716030395.644746,480,0.0
1716030397.2086458,481,0.0
1716030404.968148,487,0.052000001072883606
1716030407.867243,489,0.10040000081062317
1716030414.64979,494,0.012400000356137753
1716030419.749738,498,0.06080000102519989
1716030434.1656342,509,0.042399998754262924
1716030435.875037,510,0.061000000685453415
1716030437.0754461,511,0.13519999384880066
1716030438.48838,512,0.0
1716030439.655076,513,0.0820000022649765
1716030440.541844,514,0.14720000326633453
1716030444.3988879,517,0.05299999937415123
1716030445.739939,518,0.054999999701976776
1716030447.3191009,519,0.04899999871850014
1716030466.372121,533,0.0
1716030467.2733371,534,0.15479999780654907
1716030470.001291,536,0.03700000047683716
1716030470.999798,537,0.16279999911785126
1716030471.844913,538,0.1542000025510788
1716030475.2132878,540,0.0
1716030480.479869,544,0.0
1716030482.37424,546,0.06040000170469284
1716030486.825629,550,0.05079999938607216
1716030489.0566342,552,0.2046000063419342
1716030493.402528,556,0.0
1716030502.0646641,562,0.10819999873638153
1716030505.004075,564,0.0
1716030510.182314,568,0.03579999879002571
1716030516.155757,573,0.050200000405311584
1716030529.7706392,584,0.1550000011920929
1716030531.367445,585,0.07739999890327454
1716030534.1662169,588,0.1151999980211258
1716030536.794296,590,0.1379999965429306
1716030537.982506,591,0.0658000037074089
1716030542.282082,594,0.0
1716030544.863911,596,0.14159999787807465
1716030554.619479,603,0.03220000118017197
1716030561.502195,608,0.11479999870061874
1716030568.403698,613,0.03819999843835831
1716030569.4465039,614,0.0568000003695488
1716030579.3618948,622,0.0
1716030580.543169,623,0.08500000089406967
1716030584.2860942,626,0.1111999973654747
1716030586.942942,628,0.0
1716030588.003892,629,0.0
1716030593.498379,633,0.17059999704360962
1716030598.1405199,637,0.12680000066757202
1716030605.992796,643,0.04839999973773956
1716030607.371146,644,0.0
1716030613.1985228,649,0.011800000444054604
1716030615.495988,651,0.07400000095367432
1716030620.6432042,655,0.10580000281333923
1716030624.386847,658,0.028999999165534973
1716030626.898479,660,0.19539999961853027
1716030634.618069,667,0.0
1716030638.8036978,670,0.0
1716030645.269601,675,0.03400000184774399
1716030646.65093,676,0.06679999828338623
1716030651.955673,680,0.13580000400543213
1716030657.5944152,684,0.05139999836683273
1716030667.056591,692,0.08659999817609787
1716030669.622352,694,0.10220000147819519
1716030672.1169732,696,0.0
1716030673.1774862,697,0.20020000636577606
1716030679.071906,702,0.18160000443458557
1716030688.291422,710,0.012400000356137753
1716030695.063699,715,0.08900000154972076
1716030701.8515341,721,0.12620000541210175
1716030703.6135712,723,0.09920000284910202
1716030706.358469,725,0.13439999520778656
1716030707.7533681,726,0.11299999803304672
1716030710.668749,728,0.17820000648498535
1716030712.053786,729,0.11739999800920486
1716030714.218556,731,0.15119999647140503
1716030715.400036,732,0.22660000622272491
1716030716.6064909,733,0.10939999669790268
1716030721.823314,738,0.20919999480247498
1716030729.0563278,744,0.1273999959230423
1716030753.198102,764,0.09440000355243683
1716030754.099647,765,0.23659999668598175
